USE_LICENSE_URL,GUID,SCIENTIFIC_NAME,COUNTRY,STATE_PROV,SPEC_LOCALITY,VERBATIM_DATE,NumDate,Date,latitude,longitude,COORDINATEUNCERTAINTYINMETERS,NK
http://arctosdb.org/home/data/,MSB:Para:24719,Cephaluris,Mongolia,Hovsgol,"Heegtsar River Valley, Chandmani-Ondor Sum",18-Aug-15,2015,18-Aug-15,50.53708498,100.535506,5,272097
http://arctosdb.org/home/data/,MSB:Para:24720,Cephaluris,Mongolia,Hovsgol,"Heegtsar River Valley, Chandmani-Ondor Sum",18-Aug-15,2015,18-Aug-15,50.53708498,100.535506,5,272097
http://arctosdb.org/home/data/,MSB:Para:24721,Anoplocephalidae,Mongolia,Hovsgol,"Heegtsar River Valley, Chandmani-Ondor Sum",18-Aug-15,2015,18-Aug-15,50.53708498,100.535506,5,272097
http://arctosdb.org/home/data/,MSB:Para:24722,Murielus,Mongolia,Hovsgol,"Heegtsar River Valley, Chandmani-Ondor Sum",18-Aug-15,2015,18-Aug-15,50.53708498,100.535506,5,272097
http://arctosdb.org/home/data/,MSB:Para:24723,Ohbayashinema,Mongolia,Hovsgol,"Heegtsar River Valley, Chandmani-Ondor Sum",18-Aug-15,2015,18-Aug-15,50.53708498,100.535506,5,272097
http://arctosdb.org/home/data/,MSB:Para:24724,Cephaluris,Mongolia,Hovsgol,"Heegtsar River Valley, Chandmani-Ondor Sum",18-Aug-15,2015,18-Aug-15,50.54506397,100.531872,5,272098
http://arctosdb.org/home/data/,MSB:Para:24725,Cephaluris,Mongolia,Hovsgol,"Heegtsar River Valley, Chandmani-Ondor Sum",18-Aug-15,2015,18-Aug-15,50.54506397,100.531872,5,272098
http://arctosdb.org/home/data/,MSB:Para:24726,Arostrilepis,Mongolia,Hovsgol,"Heegtsar River Valley, Chandmani-Ondor Sum",19-Aug-15,2015,19-Aug-15,50.53726402,100.532288,5,272119
http://arctosdb.org/home/data/,MSB:Para:24727,Cephaluris,Mongolia,Hovsgol,"Heegtsar River Valley, Chandmani-Ondor Sum",19-Aug-15,2015,19-Aug-15,50.544724,100.532125,5,272126
http://arctosdb.org/home/data/,MSB:Para:24728,Cephaluris,Mongolia,Hovsgol,"Heegtsar River Valley, Chandmani-Ondor Sum",19-Aug-15,2015,19-Aug-15,50.544724,100.532125,5,272126
http://arctosdb.org/home/data/,MSB:Para:24729,Graphidiella,Mongolia,Hovsgol,"Heegtsar River Valley, Chandmani-Ondor Sum",19-Aug-15,2015,19-Aug-15,50.5366,100.537805,5,272127
http://arctosdb.org/home/data/,MSB:Para:24730,Graphidiella,Mongolia,Hovsgol,"Heegtsar River Valley, Chandmani-Ondor Sum",19-Aug-15,2015,19-Aug-15,50.5366,100.537805,5,272127
http://arctosdb.org/home/data/,MSB:Para:24731,Graphidiella,Mongolia,Hovsgol,"Heegtsar River Valley, Chandmani-Ondor Sum",19-Aug-15,2015,19-Aug-15,50.54516899,100.531429,5,272131
http://arctosdb.org/home/data/,MSB:Para:24732,Cephaluris,Mongolia,Hovsgol,"Heegtsar River Valley, Chandmani-Ondor Sum",19-Aug-15,2015,19-Aug-15,50.53730501,100.545011,5,272132
http://arctosdb.org/home/data/,MSB:Para:24733,Cephaluris,Mongolia,Hovsgol,"Heegtsar River Valley, Chandmani-Ondor Sum",19-Aug-15,2015,19-Aug-15,50.53730501,100.545011,5,272132
http://arctosdb.org/home/data/,MSB:Para:24734,Cephaluris,Mongolia,Hovsgol,"Heegtsar River Valley, Chandmani-Ondor Sum",19-Aug-15,2015,19-Aug-15,50.54510001,100.531829,5,272133
